type,param,seed,P0_sim,W_sim,L_sim,throughput_sim,time,P0_th,W_th,L_th,thr_th
lambda,0.06,1,0.9901602867307103,0.1683447198542516,0.010107821007376915,0.0600424,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,2,0.9899249203195221,0.1684096106849532,0.010102825181146068,0.0599896,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,3,0.9900049134319906,0.16805861293442678,0.010090155091276518,0.0600395,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,4,0.9900597649124389,0.16842872838851813,0.010091929390456068,0.0599181,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,5,0.9900200864081972,0.16838581648789044,0.010109985453422834,0.0600406,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,6,0.9899059107519138,0.16801932974508277,0.010078740306356637,0.0599856,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,7,0.989950117738159,0.16843127346566494,0.010092587180463457,0.0599211,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,8,0.9900845780995469,0.16845505973322816,0.010123862716365466,0.0600983,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,9,0.9900989603825046,0.16831804150362045,0.010096322074336568,0.0599836,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,10,0.9901779290520634,0.16851593633325315,0.010095098830386229,0.0599059,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,11,0.9897831672181624,0.16848847272699904,0.010112442249212664,0.0600186,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,12,0.9902122052681415,0.1681973445087589,0.01007177472732564,0.0598807,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,13,0.9902084391629123,0.16854229430770082,0.01011953216367582,0.0600415,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,14,0.9899432684377577,0.16836482951814394,0.010105172885264241,0.0600195,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,15,0.9898791055241064,0.168559174303574,0.010120983917801227,0.0600441,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,16,0.9900797130131118,0.1682021963720183,0.010071493372826252,0.0598773,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,17,0.9901039353884472,0.16833936090320065,0.010083948566503976,0.0599026,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,18,0.9900225297714838,0.1685123042850706,0.010104857177684688,0.0599651,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,19,0.990099999001009,0.168059286230929,0.010093741566601335,0.0600606,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,20,0.9899901433214343,0.16829209437624723,0.01010775782191291,0.0600608,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,21,0.9899920762280182,0.16870536630471863,0.010134536246803579,0.0600724,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,22,0.9901164031040828,0.16855236623530181,0.010112872290332132,0.0599984,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,23,0.9900361487788318,0.16844618752128535,0.010097793069482237,0.0599467,0.12,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,24,0.9899763402196216,0.16833541624923504,0.010074605325850718,0.0598484,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,25,0.9900578735710692,0.1685715460107766,0.010118911621007292,0.0600274,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,26,0.9900794047309766,0.16810131746561527,0.010093946189594307,0.0600468,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,27,0.9900411589863787,0.16822079324010483,0.010091043902014846,0.0599869,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,28,0.9900568914965777,0.16824758356373182,0.01010523588972979,0.0600617,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,29,0.9901330824483968,0.16795116905295093,0.010068303092152491,0.0599478,0.11,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,30,0.989955126796759,0.1681562773998364,0.010102896408693132,0.0600804,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,31,0.989780527441578,0.1684986891124287,0.010098901532477769,0.0599346,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,32,0.9900615034016779,0.16862442564422625,0.010122389371882387,0.0600292,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,33,0.9899646654888496,0.1685827507881062,0.010114627881784796,0.059998,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
lambda,0.06,34,0.9900149200425905,0.1682273135955521,0.010080079694257324,0.0599194,0.10,0.99,0.16835016835016836,0.010101010101010102,0.06
